K,tau_rel,iv_pct
70.0,1.000000e-04,20.002674
70.0,5.000000e-04,20.001604
70.0,1.000000e-03,20.000258
70.0,5.000000e-03,19.989137
70.0,1.000000e-02,19.974338
70.0,2.000000e-02,19.941601
70.0,5.000000e-02,19.814891
70.0,1.000000e-01,19.488428
70.0,1.500000e-01,18.339344
70.0,2.000000e-01,16.316448
75.0,1.000000e-04,20.003101
75.0,5.000000e-04,20.003164
75.0,1.000000e-03,20.003239
75.0,5.000000e-03,20.003707
75.0,1.000000e-02,20.003956
75.0,2.000000e-02,20.003309
75.0,5.000000e-02,19.991732
75.0,1.000000e-01,19.936553
75.0,1.500000e-01,19.831003
75.0,2.000000e-01,20.005696
80.0,1.000000e-04,20.002882
80.0,5.000000e-04,20.003936
80.0,1.000000e-03,20.005254
80.0,5.000000e-03,20.015763
80.0,1.000000e-02,20.028828
80.0,2.000000e-02,20.054725
80.0,5.000000e-02,20.130681
80.0,1.000000e-01,20.253128
80.0,1.500000e-01,20.383627
80.0,2.000000e-01,20.485668
85.0,1.000000e-04,20.001048
85.0,5.000000e-04,20.002799
85.0,1.000000e-03,20.004988
85.0,5.000000e-03,20.022504
85.0,1.000000e-02,20.044414
85.0,2.000000e-02,20.088288
85.0,5.000000e-02,20.220483
85.0,1.000000e-01,20.443429
85.0,1.500000e-01,20.675923
85.0,2.000000e-01,20.924235
90.0,1.000000e-04,20.002739
90.0,5.000000e-04,20.004875
90.0,1.000000e-03,20.007545
90.0,5.000000e-03,20.028911
90.0,1.000000e-02,20.055644
90.0,2.000000e-02,20.109189
90.0,5.000000e-02,20.270548
90.0,1.000000e-01,20.542488
90.0,1.500000e-01,20.819883
90.0,2.000000e-01,21.104316
95.0,1.000000e-04,20.001899
95.0,5.000000e-04,20.004130
95.0,1.000000e-03,20.006919
95.0,5.000000e-03,20.029239
95.0,1.000000e-02,20.057151
95.0,2.000000e-02,20.113022
95.0,5.000000e-02,20.281033
95.0,1.000000e-01,20.562642
95.0,1.500000e-01,20.846836
95.0,2.000000e-01,21.134600
100.0,1.000000e-04,20.002409
100.0,5.000000e-04,20.004478
100.0,1.000000e-03,20.007064
100.0,5.000000e-03,20.027760
100.0,1.000000e-02,20.053638
100.0,2.000000e-02,20.105425
100.0,5.000000e-02,20.261049
100.0,1.000000e-01,20.521467
100.0,1.500000e-01,20.783638
100.0,2.000000e-01,21.048395
105.0,1.000000e-04,20.001891
105.0,5.000000e-04,20.003572
105.0,1.000000e-03,20.005673
105.0,5.000000e-03,20.022492
105.0,1.000000e-02,20.043529
105.0,2.000000e-02,20.085652
105.0,5.000000e-02,20.212441
105.0,1.000000e-01,20.425347
105.0,1.500000e-01,20.640888
105.0,2.000000e-01,20.860157
110.0,1.000000e-04,20.002154
110.0,5.000000e-04,20.003250
110.0,1.000000e-03,20.004619
110.0,5.000000e-03,20.015585
110.0,1.000000e-02,20.029314
110.0,2.000000e-02,20.056848
110.0,5.000000e-02,20.140089
110.0,1.000000e-01,20.281300
110.0,1.500000e-01,20.426746
110.0,2.000000e-01,20.578466
115.0,1.000000e-04,20.002167
115.0,5.000000e-04,20.002504
115.0,1.000000e-03,20.002927
115.0,5.000000e-03,20.006313
115.0,1.000000e-02,20.010560
115.0,2.000000e-02,20.019109
115.0,5.000000e-02,20.045255
115.0,1.000000e-01,20.091064
115.0,1.500000e-01,20.139979
115.0,2.000000e-01,20.195816
120.0,1.000000e-04,20.000486
120.0,5.000000e-04,19.999916
120.0,1.000000e-03,19.999203
120.0,5.000000e-03,19.993487
120.0,1.000000e-02,19.986316
120.0,2.000000e-02,19.971891
120.0,5.000000e-02,19.928019
120.0,1.000000e-01,19.854215
120.0,1.500000e-01,19.774612
120.0,2.000000e-01,19.728804
125.0,1.000000e-04,20.001466
125.0,5.000000e-04,19.999856
125.0,1.000000e-03,19.997843
125.0,5.000000e-03,19.981689
125.0,1.000000e-02,19.961371
125.0,2.000000e-02,19.920315
125.0,5.000000e-02,19.793762
125.0,1.000000e-01,19.571863
125.0,1.500000e-01,19.346423
125.0,2.000000e-01,19.072090
130.0,1.000000e-04,20.000716
130.0,5.000000e-04,19.997952
130.0,1.000000e-03,19.994494
130.0,5.000000e-03,19.966706
130.0,1.000000e-02,19.931667
130.0,2.000000e-02,19.860549
130.0,5.000000e-02,19.638403
130.0,1.000000e-01,19.235585
130.0,1.500000e-01,18.805505
130.0,2.000000e-01,18.429898
